MapObject Profiler Snapshot
CopiedAt	2026-09-06 01:12:22
Enabled	True
Frame	19717
WindowMs	1016.083
BeltLoopProfileFrames	44
ActiveUpdateTicks	47
ActiveBeltTicks	366
ActiveBeltDataMotions	48
ActiveBeltVisualTicks	0

BeltCountersPerFrame
Loops	396.477
DataMotionLoops	1.5
ActiveQueueLoops	326.773
StraightLineBlockLoops	68.205
VisualLoops	0
TryMoveAttempts	334.136
TryMoveSuccesses	0.5
StraightMoveAttempts	0
StraightMoveSuccesses	0
PlanMoveCalls	23.523
PlannedMoveApplications	1.682
TouchedBlockRefreshes	1.432
WakeAroundCalls	0
ActivityRefreshCalls	165.273

BackgroundConveyorPerTick
Samples	0
SavedBlocks	0
SavedItems	0
Candidates	0
Passes	0
MoveAttempts	0
MoveSuccesses	0
MotionDirtyCoordinates	0
DirtyCoordinates	0
ReadyHeapSize	0
DueCandidates	0
SkippedNotReady	0
BlockedWaiters	0
StaleScheduleDrops	0
SlowRetryCandidates	0

RuntimeCounters
Group	Name	Value	Note
Frame	Fps	42.151	
Frame	FrameMs	23.724	
Frame	UnscaledDeltaMs	21.018	
Frame	SmoothDeltaMs	21.308	
Frame	TimeScale	1	
Frame	TargetFrameRate	-1	
Frame	VSyncCount	0	
Frame	ScreenRefreshRate	59.94	
Frame	IsEditor	0	
FrameTiming	Samples	0	
FrameTiming	CpuFrameMs	n/a	
FrameTiming	CpuMainThreadMs	n/a	
FrameTiming	CpuRenderThreadMs	n/a	
FrameTiming	CpuPresentWaitMs	n/a	
FrameTiming	GpuFrameMs	n/a	
Memory	ManagedHeapMB	162.746	
Memory	UnityAllocatedMB	317.83	
Memory	UnityReservedMB	429.785	
Memory	UnityUnusedReservedMB	111.955	
GC	Gen0Total	304	
GC	Gen1Total	304	
GC	Gen2Total	304	
GC	Gen0Delta	1	
GC	Gen1Delta	1	
GC	Gen2Delta	1	
ProfilerRecorder	AvailableCounters	61	
ProfilerRecorder	ActiveRecorders	11	
ProfilerRecorder	MissingRecorders	6	
ProfilerRecorder	RelevantAvailable	VSync/WaitForTargetFPS, Internal/Main Thread, Render/FrameTime.GPU, GC/GC.Collect, Render/Gfx.WaitForRenderThread, Render/Gfx.WaitForPresentOnGfxThread, Memory/System Used Memory, Memory/System Total Used Memory, Memory/App Resident Memory, Memory/App Committed Memory, Memory/Total Used Memory, Memory/Total Reserved Memory, Memory/GC Used Memory...	
ProfilerCPU	MainThreadMs	21.015	last=21.392 samples=5 source=Internal/Main Thread
ProfilerCPU	WaitForTargetFpsMs	0	last=0 samples=5 source=VSync/WaitForTargetFPS
ProfilerCPU	GfxWaitForPresentMs	0.002	last=0.002 samples=5 source=Render/Gfx.WaitForPresentOnGfxThread
ProfilerGPU	FrameGpuMs	0	last=0 samples=4 source=Render/FrameTime.GPU
ProfilerRender	SetPassCalls	130	last=130 samples=5 source=Render/SetPass Calls Count
ProfilerRender	Triangles	1152383.2	last=1150940 samples=5 source=Render/Triangles Count
ProfilerRender	Vertices	1858364.6	last=1856640 samples=5 source=Render/Vertices Count
ProfilerRender	ShadowCasters	39.6	last=39 samples=5 source=Render/Shadow Casters Count
ProfilerGC	GcCollectMs	0	last=0 samples=5 source=GC/GC.Collect
ProfilerMemory	GcUsedMB	162.578	last=162.746 samples=5 source=Memory/GC Used Memory
ProfilerMemory	TotalUsedMB	481.412	last=481.592 samples=5 source=Memory/Total Used Memory
RenderStats	EditorStats	unavailable	UNITY_EDITOR only
World	LoadedChunks	494	
World	ChunkGameObjects	64	
World	DedicatedBlockGameObjects	0	
World	BlockHostGameObjects	1	
World	BlockComponents	11485	
World	ChunkSurfaceMeshes	494	
World	LoadedBlocks	11485	
World	BlockSimulationStates	6071	
World	RegisteredBlockCells	31616	
World	DataOnlyBlockCells	20131	
World	BlockDataChunks	494	
World	LoadedMapObjects	5602	
World	LoadedInstallations	2445	
World	LoadedConveyorBelts	2283	
View	ActiveBlockRoots	1	
View	InactiveBlockRoots	0	
View	ActiveMapObjectRoots	5602	
View	InactiveMapObjectRoots	0	
View	ActiveBeltRoots	2283	
View	InactiveBeltRoots	0	
View	SuspendedBeltRoots	0	
View	MapObjectTransforms	45375	
View	ActiveMapObjectTransforms	34465	
View	InactiveMapObjectTransforms	10910	
View	BeltTransforms	37488	
View	ActiveBeltTransforms	26615	
View	InactiveBeltTransforms	10873	
Render	MapObjectRenderers	27610	
Render	EnabledMapObjectRenderers	3999	
Render	ActiveEnabledMapObjectRenderers	3883	
Render	DisabledMapObjectRenderers	23611	
Render	BeltRenderers	23425	
Render	EnabledBeltRenderers	169	
Render	ActiveEnabledBeltRenderers	64	
Render	DisabledBeltRenderers	23256	
RenderToggles	HideBelts	0	
RenderToggles	HideBeltItems	0	
Physics	MapObjectColliders	2329	
Physics	EnabledMapObjectColliders	2329	
Physics	DisabledMapObjectColliders	0	
Physics	BeltColliders	8	
Physics	EnabledBeltColliders	8	
Conveyor	LoadedConveyorItems	2436	
Conveyor	TotalConveyorItems	2438	
Conveyor	ActiveConveyors	372	
Conveyor	DataMotionBlocks	48	
Conveyor	ItemVisualBlocks	1246	
Conveyor	DirtyItemVisualBlocks	0	
Conveyor	DynamicItemVisualBlocks	7	
Conveyor	SlotDotVisualBlocks	0	
Conveyor	DirectionVisualBlocks	0	
ConveyorItemRender	ItemBatchCellSize	64	
ConveyorItemRender	PortableBrgBatches	0	
ConveyorItemRender	StaticBatches	275	
ConveyorItemRender	StaticBrgBatches	0	
ConveyorItemRender	StaticInstances	2419	
ConveyorItemRender	GpuMotionInstances	63	
ConveyorItemRender	StaticDrawCalls	275	
ConveyorItemRender	DynamicBatches	0	
ConveyorItemRender	DynamicBrgBatches	0	
ConveyorItemRender	DynamicInstances	0	
ConveyorItemRender	DynamicDrawCalls	0	
ConveyorItemRender	ActiveRenderBlocks	1246	
ConveyorItemRender	DynamicRenderBlocks	7	
ConveyorItemRender	DirtyRenderBlocks	0	
ConveyorItemRender	CachedRenderBlocks	1239	
ConveyorItemRender	CachedDynamicRenderBlocks	0	
ConveyorItemRender	CachedItemRenderAssets	93	
ConveyorItemRender	DynamicCullSourceBlocks	7	
ConveyorItemRender	DynamicCullCandidateBlocks	7	
ConveyorItemRender	DynamicCullCacheRefreshes	0	
ConveyorItemRender	DynamicCullCachedBlocks	0	
ConveyorItemRender	DynamicCullLayerSkippedBlocks	0	
ConveyorItemRender	DynamicCullFrustumSkippedBlocks	7	
ConveyorItemRender	DynamicCullPassedBlocks	0	
ConveyorItemRender	DynamicRenderedItems	0	
ConveyorItemRender	DynamicKeyCacheHits	0	
ConveyorItemRender	DynamicKeyCacheMisses	0	
ConveyorItemRender	DynamicKeyRebuilds	0	
ConveyorItemRender	DynamicMatrixUpdates	0	
ConveyorItemRender	DynamicMatrixRebuilds	0	
ConveyorItemRender	DynamicTransformJobItems	0	
ConveyorItemRender	DynamicTransformJobScheduled	0	
ConveyorItemRender	DynamicCullBoundsSize	2.25	
ConveyorItemRender	DynamicCullBoundsHeight	2.5	
ConveyorLoad	SavedBlocks	203	
ConveyorLoad	SavedLanes	383	
ConveyorLoad	LoadedBlocks	203	
ConveyorLoad	PendingBlocks	0	
ConveyorLoad	PendingLanes	0	
ConveyorLoad	NotRuntimeBlocks	0	
